question,question_type,question_format,complexity_of_format,analytical_depth,interdisciplinary_integration,language_and_cues,Overall_difficulty,Focus_area,is_incomplete,theme,keywords,textbooks,focus,is_upsc_scope,year
"48. Consider the following statements:
1. The first woman President of the Indian National Congress was Sarojini Naidu.
2. The first Muslim President of the Indian National Congress was Badruddin Tyabji.",Fact-Based Questions,Statement-based MCQs,Medium,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of historical figures in Indian National Congress, focusing on the identification of the first woman and first Muslim Presidents of the Indian National Congress.",FALSE,Leadership and Inclusivity in the Freedom Struggle,"Sarojini Naidu, Badruddin Tyabji, First woman President, First Muslim President, Indian National Congress","India's Struggle for Independence by Bipan Chandra, Modern India by Bipin Chandra, India After Gandhi by Ramachandra Guha",factual recall and conceptual understanding regarding the leadership and progressive inclusivity in the Indian National Congress during the freedom struggle.,TRUE,2015
"49. Which of the following statements regarding 'Green Climate Fund' is/are correct?
1. It is intended to assist the developing countries in adaptation and mitigation practices to counter climate change.
2. It is founded under the aegis of UNEP, OECD, Asian Development Bank and World Bank.
Select the correct answer using the code given below.
(a) 1 only
(b) 2 only
(c) Both 1 and 2
(d) Neither 1 nor 2",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Green Climate Fund, focusing on its purpose and founding organizations.",FALSE,International Mechanisms for Climate Action,"Green Climate Fund, climate change, adaptation, mitigation, developing countries, UNEP, OECD, Asian Development Bank, World Bank","Environmental Studies by Majid Husain, NCERT textbooks on Environmental Science and Geography, Reports and publications on international climate change mechanisms",Conceptual understanding and factual recall regarding international financial mechanisms for climate change mitigation and adaptation.,TRUE,2015
"50. Indira Gandhi Prize for Peace, Disarmament and Development for 2014 was given to which one of the following?
(a) Bhabha Atomic Research Centre
(b) Indian Institute of Science
(c) Indian Space Research Organization
(d) Tata Institute of Fundamental Research",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian awards and recognitions, focusing on identifying the recipient of the Indira Gandhi Prize for Peace, Disarmament and Development for the year 2014.",FALSE,"Indian Contributions in Peace, Disarmament and Development","Indira Gandhi Prize, Peace, Disarmament, Development, 2014, Bhabha Atomic Research Centre, Indian Institute of Science, Indian Space Research Organization, Tata Institute of Fundamental Research","General Studies for UPSC Current Affairs Compilations, Manorama Yearbook",Factual Recall,TRUE,2015
"51. With reference to the Cabinet Mission, which of the following statements is/are correct?
1. It recommended a federal government.
2. It enlarged the powers of the Indian courts.
3. It provided for more Indians in the ICS.
Select the correct answer using the code given below.
(a) 1 only
(b) 2 and 3
(c) 1 and 3
(d) None",Fact-Based Questions,Statement-based MCQs,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of the Cabinet Mission, focusing on the recommendations made by the mission concerning the Indian political structure.",,Cabinet Mission Plan and Constitutional Reforms,"Cabinet Mission, federal government, Indian courts, Indian Civil Service, constitutional reforms","Modern India by Bipin Chandra, India's Struggle for Independence by Bipin Chandra, A Brief History of Modern India",factual recall and application of historical data,TRUE,2015
"52. Which one of the following National Parks has a climate that varies from tropical to subtropical, temperate and arctic?
(a) Khangchendzonga National Park
(b) Nandadevi National Park
(c) Neora Valley National Park
(d) Namdapha National Park",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of national parks in India, focusing on the climatic variations of different national parks.",FALSE,Protected Areas and Climatic Zones,"National Parks, climate variation, tropical, subtropical, temperate, arctic, Namdapha National Park","NCERT Geography textbooks, Majid Husain - Environment and Ecology, Oxford School Atlas",factual recall,TRUE,2015
"53. Amnesty International is
(a) an agency of the United Nations to help refugees of civil wars
(b) a global Human Rights Movement
(c) a non-governmental voluntary organization to help very poor people
(d) an inter-governmental agency to cater to medical emergencies in war-ravaged regions",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international organizations, focusing on the understanding of Amnesty International's role and function.",FALSE,Global Human Rights and NGOs,"Amnesty International, Human Rights, NGO, International Organizations","Challenges to Internal Security, India's Foreign Policy, Introduction to International Relations",Factual recall and conceptual understanding of international organizations and their roles.,TRUE,2015
"54. With reference to the art and archaeological history of India, which one among the following was made earliest?
(a) Lingaraja Temple at Bhubaneswar
(b) Rock-cut Elephant at Dhauli
(c) Rock-cut Monuments at Mahabalipuram
(d) Varaha Image at Udayagiri",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of Indian art and archaeological history, focusing on the chronological order of historical monuments.",FALSE,Chronology of Indian Artistic and Architectural Developments,"Lingaraja Temple, Bhubaneswar, Rock-cut Elephant, Dhauli, Rock-cut Monuments, Mahabalipuram, Varaha Image, Udayagiri, Art and Archaeological History, India","Indian Art and Culture by Nitin Singhania, A History of Ancient and Early Medieval India by Upinder Singh",Factual recall and chronological assessment of monumental art and architecture in India,TRUE,2015
"55. With reference to Indian history, which of the following is/are the essential element/elements of the feudal system?
1. A very strong centralized political authority and a very weak provincial or local political authority
2. Emergence of administrative structure based on control and possession of land
3. Creation of lord-vassal relationship between the feudal lord and his overlord
Select the correct answer using the code given below.
(a) 1 and 2 only
(b) 2 and 3 only
(c) 3 only
(d) 1, 2 and 3",Fact-Based Questions,Single Correct Option Questions,Medium,Medium,Easy,Easy,Medium,"The question assesses factual recall in the context of Indian history, focusing on the essential elements of the feudal system.",FALSE,Characteristics of feudal systems,"feudal system, centralized authority, feudal lord, vassal, land possession, administrative structure","Medieval India by Satish Chandra, History of Medieval India by Burton Stein, Ancient India by R.S. Sharma",conceptual understanding and application of historical concepts,TRUE,2015
"56. 'BioCarbon Fund Initiative for Sustainable Forest Landscapes' is managed by the
(a) Asian Development Bank
(b) International Monetary Fund
(c) United Nations Environment Programme
(d) World Bank",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of international financial institutions, focusing on the management of the BioCarbon Fund Initiative.",FALSE,Role of International Organizations in Environmental Sustainability,"BioCarbon Fund, Sustainable Forest Landscapes, World Bank, International Financial Institutions","Environment and Ecology by Majid Husain, Introduction to Environmental Studies",factual recall,TRUE,2015
"57. India is a member of which among the following?
1. Asia-Pacific Economic Cooperation
2. Association of South-East Asian Nations
3. East Asia Summit
Select the correct answer using the code given below.
(a) 1 and 2 only
(b) 3 only
(c) 1, 2 and 3
(d) India is a member of none of them",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of India's membership in international organizations, focusing on the identification of India’s participation in APEC, ASEAN, and the East Asia Summit.",FALSE,Global Engagement and International Institutions,"Asia-Pacific Economic Cooperation, Association of South-East Asian Nations, East Asia Summit, India, international organizations, global engagement","Challenges to Internal Security of India, Indian Foreign Policy: Theory and Practice by V.P. Dutt, Indian Foreign Policy: Retrospect and Prospect by Rajiv Sikri",factual recall,TRUE,2015
"58. In India, the steel production industry requires the import of
(a) saltpetre
(b) rock phosphate
(c) coking coal
(d) All of the above",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses Factual Recall in the context of Steel Production in India, focusing on required imports for production processes.",FALSE,Role of Imports in Steel Production,"steel production, coking coal, Indian industry, import dependency, industrial inputs","Indian Economy by Ramesh Singh, Modern India by Bipin Chandra, Economic Survey of India",factual recall,TRUE,2015
"59. The provisions in Fifth Schedule and Sixth Schedule in the Constitution of India are made in order to
(a) protect the interests of Scheduled Tribes
(b) determine the boundaries between States
(c) determine the powers, authority and responsibilities of Panchayats
(d) protect the interests of all the border States",Fact-Based Questions,Single Correct Option Questions,Easy,Easy,Easy,Easy,Easy,"The question assesses factual recall in the context of constitutional law, focusing on the protections and provisions for Scheduled Tribes in India.",FALSE,Special Provisions for Tribal and Autonomous Areas,"Fifth Schedule, Sixth Schedule, Scheduled Tribes, Constitution of India, Tribal Areas, Autonomous Administration","Indian Polity by M. Laxmikanth, Introduction to the Constitution of India by D.D. Basu",factual recall,TRUE,2015
